id,name,area,route,widget,roles,after,declared_scene_count,related_tests,remaining
AC-001,启动与会话恢复,account,应用冷启动 → 会话恢复,SessionRestorePage / AppGate,scenario-defined,renders/sealed123-final-default/390x844-text1.0/AC-001.png,3,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-002,协议与隐私同意,account,首次启动 → 协议与隐私同意,ConsentPage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/AC-002.png,3,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-003,手机注册登录,account,协议同意 → 手机号登录 → 注册资料,LoginPage / RegistrationPage,scenario-defined,renders/sealed123-final-default/390x844-text1.0/AC-003.png,2,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-004,第三方账号绑定与分享授权,account,我的 → 账号与安全 → 第三方账号绑定与分享授权,ThirdPartyAuthorizationPage,Current unavailable/static page; no new role granted,renders/sealed123-final-default/390x844-text1.0/AC-004.png,0,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-005,系统权限中心,account,我的 → 账号与安全 → 系统权限中心,SystemPermissionCenterPage,ordinary,renders/sealed123-final-default/390x844-text1.0/AC-005.png,8,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-006,实名认证,account,我的 → 账号与安全 → 实名认证,RealNamePage,ordinary,renders/sealed123-final-default/390x844-text1.0/AC-006.png,7,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-007,登录设备与会话管理,account,我的 → 账号与安全 → 登录设备与会话,DeviceSessionsPage,ordinary,renders/sealed123-final-default/390x844-text1.0/AC-007.png,3,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-008,账号封禁拦截,account,登录/恢复会话 → 账号限制拦截；我的 → 账号状态,AccountRestrictionPage,ordinary,renders/sealed123-final-default/390x844-text1.0/AC-008.png,3,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-009,处罚申诉,account,我的 → 账号与安全 → 处罚申诉,AccountAppealPage,ordinary,renders/sealed123-final-default/390x844-text1.0/AC-009.png,8,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-010,账号注销申请与进度,account,我的 → 账号与安全 → 账号注销,AccountCancellationPage,ordinary,renders/sealed123-final-default/390x844-text1.0/AC-010.png,5,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-011,版本升级,account,我的 → 账号与安全 → 版本升级,VersionUpgradePage,ordinary,renders/sealed123-final-default/390x844-text1.0/AC-011.png,5,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
AC-012,青少年模式,account,我的 → 账号与安全 → 青少年模式；开启后全局固定锁定页,YouthModePage,ordinary,renders/sealed123-final-default/390x844-text1.0/AC-012.png,3,page_manifest_test.dart;brand_display_name_contract_test.dart;android_release_host_contract_test.dart;account_cancellation_live_ui_test.dart;account_appeal_eligibility_test.dart;account_compliance_error_ui_test.dart;backend_account_compliance_permission_ui_test.dart;sensitive_write_identity_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
DS-001,首页房间发现,discovery,根导航 → 首页,HomePage,ordinary,renders/sealed123-final-default/390x844-text1.0/DS-001.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
DS-002,全局搜索,discovery,首页 → 搜索,GlobalSearchPage,ordinary,renders/sealed123-final-default/390x844-text1.0/DS-002.png,3,message_center_search_test.dart;message_notification_race_ui_test.dart;message_first_party_boundary_ui_test.dart;q03_message_visibility_test.dart;social_relations_return_refresh_test.dart;video_runtime_account_profile_race_test.dart;video_runtime_account_relations_refresh_test.dart;discovery_presentation_race_test.dart;discovery_room_cover_cards_test.dart,"Native keyboard/gestures/assistive technology, real role transition and device/build acceptance; explicitly unlisted state combinations are not promoted."
